year,month,country,revenue,times_viewed,date
2018,8,Hong Kong,3767.3,0.0,2018-08-01
2018,8,Netherlands,1134.51,0.0,2018-08-01
2018,8,Norway,154.8,0.0,2018-08-01
2018,8,Portugal,167.79,0.0,2018-08-01
2018,8,United Kingdom,135892.28,0.0,2018-08-01
2018,9,Belgium,231.5,0.0,2018-09-01
2018,9,EIRE,8468.859999999999,0.0,2018-09-01
2018,9,France,1489.05,0.0,2018-09-01
2018,9,Germany,2286.98,0.0,2018-09-01
2018,9,Netherlands,814.87,0.0,2018-09-01
2018,9,Norway,139.74,0.0,2018-09-01
2018,9,Portugal,398.82,0.0,2018-09-01
2018,9,Singapore,219.75,0.0,2018-09-01
2018,9,United Kingdom,204623.941,0.0,2018-09-01
2018,10,Belgium,387.89,0.0,2018-10-01
2018,10,EIRE,20010.969999999998,0.0,2018-10-01
2018,10,France,1968.79,0.0,2018-10-01
2018,10,Germany,3264.75,0.0,2018-10-01
2018,10,Netherlands,754.57,0.0,2018-10-01
2018,10,Norway,65.76,0.0,2018-10-01
2018,10,Portugal,556.99,0.0,2018-10-01
2018,10,United Kingdom,243017.0,0.0,2018-10-01
2018,11,Belgium,779.76,0.0,2018-11-01
2018,11,EIRE,5235.61,0.0,2018-11-01
2018,11,France,3161.51,0.0,2018-11-01
2018,11,Germany,3788.38,0.0,2018-11-01
2018,11,Netherlands,1156.57,0.0,2018-11-01
2018,11,Norway,455.23,0.0,2018-11-01
2018,11,Portugal,816.86,0.0,2018-11-01
2018,11,United Kingdom,313246.222,0.0,2018-11-01
2019,2,Belgium,645.04,1201.0,2019-02-01
2019,2,EIRE,1302.3,2682.0,2019-02-01
2019,2,France,1383.95,4273.0,2019-02-01
2019,2,Germany,1245.01,2690.0,2019-02-01
2019,2,Netherlands,382.53,2082.0,2019-02-01
2019,2,Norway,1810.0,131.0,2019-02-01
2019,2,Portugal,216.98,450.0,2019-02-01
2019,2,United Kingdom,116808.97,124432.0,2019-02-01
2019,3,Belgium,399.35,1052.0,2019-03-01
2019,3,EIRE,9305.1,5272.0,2019-03-01
2019,3,France,1477.59,3947.0,2019-03-01
2019,3,Germany,2091.19,4743.0,2019-03-01
2019,3,Hong Kong,5167.52,1.0,2019-03-01
2019,3,Netherlands,549.47,2243.0,2019-03-01
2019,3,Norway,90.07000000000001,140.0,2019-03-01
2019,3,Portugal,334.88,1063.0,2019-03-01
2019,3,United Kingdom,138856.41,159724.0,2019-03-01
2019,4,Belgium,388.81,987.0,2019-04-01
2019,4,EIRE,1286.53,2382.0,2019-04-01
2019,4,France,3319.02,1981.0,2019-04-01
2019,4,Germany,2128.19,4234.0,2019-04-01
2019,4,Hong Kong,113.41,291.0,2019-04-01
2019,4,Netherlands,54.93,340.0,2019-04-01
2019,4,Portugal,214.86,688.0,2019-04-01
2019,4,Singapore,12309.61,553.0,2019-04-01
2019,4,United Kingdom,130373.041,145324.0,2019-04-01
2019,5,Belgium,524.28,1240.0,2019-05-01
2019,5,EIRE,2374.79,4283.0,2019-05-01
2019,5,France,2451.65,5788.0,2019-05-01
2019,5,Germany,3551.42,7854.0,2019-05-01
2019,5,Hong Kong,217.96,855.0,2019-05-01
2019,5,Netherlands,787.63,2733.0,2019-05-01
2019,5,Portugal,7377.82,307.0,2019-05-01
2019,5,United Kingdom,156283.74,186321.0,2019-05-01
2019,6,Belgium,795.55,1814.0,2019-06-01
2019,6,EIRE,10267.76,5851.0,2019-06-01
2019,6,France,2070.0,5625.0,2019-06-01
2019,6,Germany,1528.22,4008.0,2019-06-01
2019,6,Hong Kong,59.44,150.0,2019-06-01
2019,6,Netherlands,691.23,2586.0,2019-06-01
2019,6,Norway,1521.0700000000002,1356.0,2019-06-01
2019,6,Portugal,170.73,391.0,2019-06-01
2019,6,United Kingdom,169493.0,157076.0,2019-06-01
2019,7,Belgium,647.1999999999999,1294.0,2019-07-01
2019,7,EIRE,2479.81,6239.0,2019-07-01
2019,7,France,1579.72,3739.0,2019-07-01
2019,7,Germany,3620.56,8028.0,2019-07-01
2019,7,Netherlands,26.02,10.0,2019-07-01
2019,7,Norway,168.63,444.0,2019-07-01
2019,7,Portugal,201.46,944.0,2019-07-01
2019,7,Singapore,230.46,817.0,2019-07-01
2019,7,United Kingdom,177961.861,193538.0,2019-07-01
2019,8,Belgium,616.0,1453.0,2019-08-01
2019,8,EIRE,4300.28,5810.0,2019-08-01
2019,8,France,1908.47,5425.0,2019-08-01
2019,8,Germany,2445.68,5906.0,2019-08-01
2019,8,Hong Kong,414.75,485.0,2019-08-01
2019,8,Netherlands,815.4399999999999,3385.0,2019-08-01
2019,8,Norway,502.44,755.0,2019-08-01
2019,8,Portugal,91.15,701.0,2019-08-01
2019,8,United Kingdom,123104.72,169170.0,2019-08-01
2019,9,Belgium,630.3,1318.0,2019-09-01
2019,9,EIRE,4644.8,9631.0,2019-09-01
2019,9,France,3459.69,8821.0,2019-09-01
2019,9,Germany,2478.17,6561.0,2019-09-01
2019,9,Hong Kong,5307.9,4.0,2019-09-01
2019,9,Netherlands,917.17,2896.0,2019-09-01
2019,9,Norway,662.39,1927.0,2019-09-01
2019,9,Portugal,152.17,481.0,2019-09-01
2019,9,United Kingdom,180091.412,256868.0,2019-09-01
2019,10,Belgium,1069.83,2204.0,2019-10-01
2019,10,EIRE,3819.28,8301.0,2019-10-01
2019,10,France,15735.800000000001,8492.0,2019-10-01
2019,10,Germany,5933.98,12158.0,2019-10-01
2019,10,Hong Kong,129.46,275.0,2019-10-01
2019,10,Netherlands,922.06,3342.0,2019-10-01
2019,10,Norway,597.9,1161.0,2019-10-01
2019,10,Portugal,2484.85,2687.0,2019-10-01
2019,10,Singapore,12305.48,262.0,2019-10-01
2019,10,United Kingdom,219303.88,293474.0,2019-10-01
2019,11,Belgium,1028.66,2302.0,2019-11-01
2019,11,EIRE,4553.11,8867.0,2019-11-01
2019,11,France,4748.16,11660.0,2019-11-01
2019,11,Germany,6224.43,8724.0,2019-11-01
2019,11,Hong Kong,652.2,2.0,2019-11-01
2019,11,Netherlands,484.37,1808.0,2019-11-01
2019,11,Norway,654.0,1624.0,2019-11-01
2019,11,Portugal,627.37,1397.0,2019-11-01
2019,11,United Kingdom,300347.31,367844.0,2019-11-01
